"n","robustness"
1,"critical"
2,"critical"
3,"critical"
4,"critical"
5,"critical"
6,"critical"
7,"critical"
8,"critical"
9,"critical"
10,"critical"
11,"redundant"
12,"redundant"
13,"redundant"
14,"redundant"
15,"redundant"
16,"redundant"
17,"critical"
18,"redundant"
19,"critical"
20,"redundant"
21,"redundant"
22,"redundant"
23,"redundant"
24,"redundant"
25,"redundant"
26,"redundant"
27,"redundant"
28,"redundant"
29,"redundant"
30,"redundant"
31,"critical"
32,"critical"
33,"redundant"
34,"redundant"
35,"redundant"
