"n","robustness"
1,"critical"
2,"ordinary"
3,"redundant"
4,"ordinary"
5,"ordinary"
6,"redundant"
7,"redundant"
8,"ordinary"
9,"redundant"
10,"redundant"
11,"redundant"
12,"ordinary"
13,"ordinary"
14,"critical"
15,"ordinary"
16,"redundant"
17,"critical"
18,"redundant"
19,"critical"
20,"redundant"
21,"redundant"
22,"redundant"
23,"redundant"
24,"redundant"
25,"redundant"
26,"redundant"
27,"redundant"
28,"redundant"
29,"redundant"
30,"redundant"
31,"redundant"
32,"redundant"
33,"redundant"
34,"redundant"
35,"redundant"
36,"ordinary"
37,"redundant"
38,"redundant"
39,"redundant"
40,"redundant"
41,"redundant"
42,"redundant"
43,"redundant"
44,"redundant"
45,"redundant"
46,"redundant"
47,"redundant"
48,"redundant"
49,"redundant"
50,"redundant"
51,"redundant"
52,"redundant"
53,"redundant"
54,"redundant"
55,"redundant"
56,"redundant"
57,"redundant"
